,wavelength,amplitude
0,800.0,2667
1,800.067,2708
2,800.134,2717
3,800.201,2736
4,800.268,2772
5,800.335,2773
6,800.402,2796
7,800.469,2796
8,800.537,2804
9,800.604,2798
10,800.671,2815
11,800.738,2806
12,800.805,2812
13,800.872,2853
14,800.939,2823
15,801.006,2822
16,801.073,2817
17,801.14,2838
18,801.207,2836
19,801.274,2836
20,801.341,2833
21,801.408,2847
22,801.476,2830
23,801.543,2865
24,801.61,2854
25,801.677,2857
26,801.744,2855
27,801.811,2848
28,801.878,2865
29,801.945,2848
30,802.012,2876
31,802.079,2888
32,802.146,2866
33,802.213,2876
34,802.28,2869
35,802.347,2889
36,802.414,2890
37,802.482,2889
38,802.549,2889
39,802.616,2872
40,802.683,2876
41,802.75,2906
42,802.817,2894
43,802.884,2910
44,802.951,2883
45,803.018,2891
46,803.085,2897
47,803.152,2887
48,803.219,2901
49,803.286,2884
50,803.353,2892
51,803.421,2897
52,803.488,2902
53,803.555,2909
54,803.622,2898
55,803.689,2879
56,803.756,2886
57,803.823,2905
58,803.89,2888
59,803.957,2907
60,804.024,2882
61,804.091,2901
62,804.158,2909
63,804.225,2885
64,804.292,2906
65,804.359,2912
66,804.427,2898
67,804.494,2921
68,804.561,2898
69,804.628,2907
70,804.695,2914
71,804.762,2913
72,804.829,2918
73,804.896,2910
74,804.963,2901
75,805.03,2923
76,805.097,2915
77,805.164,2926
78,805.231,2925
79,805.298,2920
80,805.366,2896
81,805.433,2898
82,805.5,2922
83,805.567,2926
84,805.634,2900
85,805.701,2892
86,805.768,2898
87,805.835,2905
88,805.902,2917
89,805.969,2934
90,806.036,2917
91,806.103,2898
92,806.17,2930
93,806.237,2919
94,806.304,2922
95,806.372,2922
96,806.439,2919
97,806.506,2924
98,806.573,2935
99,806.64,2944
100,806.707,2929
101,806.774,2915
102,806.841,2951
103,806.908,2944
104,806.975,2928
105,807.042,2946
106,807.109,2925
107,807.176,2933
108,807.243,2930
109,807.311,2935
110,807.378,2921
111,807.445,2925
112,807.512,2940
113,807.579,2955
114,807.646,2941
115,807.713,2956
116,807.78,2936
117,807.847,2952
118,807.914,2967
119,807.981,2946
120,808.048,2964
121,808.115,2963
122,808.182,2972
123,808.249,2955
124,808.317,2974
125,808.384,2973
126,808.451,2975
127,808.518,2977
128,808.585,2972
129,808.652,2974
130,808.719,2968
131,808.786,2967
132,808.853,2979
133,808.92,2973
134,808.987,2969
135,809.054,2950
136,809.121,2980
137,809.188,2999
138,809.256,3017
139,809.323,2990
140,809.39,2987
141,809.457,2982
